ID,店名,料理標籤,星級評分,營業時間,店家電話,地址,Google Map 網址,特約優惠,關鍵詞,介紹,座標,
104,全州食堂韓國館,韓式,3.9,"11:00-14:00, 17:00-21:00(週一公休)",03-456-5785,實踐路241號,https://maps.app.goo.gl/Wd8MWiJCtWdfFtBx7,非特約商店,鍋物、韓式、豆腐鍋、拌飯、午餐、晚餐,中原學區抗通膨神店『全州食堂韓國館』！最大特色在於點主餐即享多款道地韓式小菜、白飯及冬粉無限量吃到飽。招牌銅盤烤肉肉質鮮嫩、湯頭甘甜，泡菜鍋酸辣過味超下飯。網評狂讚：『老闆太佛心，便宜大碗絕對吃超飽！』,"24.958147711940526, 121.2391915883585",
105,攪攪風味小火鍋—中壢中原店-中壢平價火鍋|小火鍋推薦|必吃火鍋|在地推薦火鍋|聚餐餐廳|中原大學附近餐廳推薦|必吃餐廳|人氣餐廳,火鍋,4.7,11:00-00:00,03-283-0533,弘揚路81號1樓,https://maps.app.goo.gl/Hrwfg9AeMZvUnqJw5,非特約商店,火鍋、午餐、晚餐,部落客瘋傳的排隊神店！主打真材實料的特色鍋物，香濃起司鍋與老薑麻油鍋口味醇厚、湯頭鮮美，蔬菜與肉盤分量誠意十足。搭配內用無限續的雞油拌飯與頂級冰淇淋，網路口碑激推：『百元價格、千元享受，是在地回訪率爆高的火鍋首選！』,"24.954065618068253, 121.24152840185093",
106,老湯鍋24H(中壢中原),火鍋,4.2,24小時營業,03-438-5522,新中北路198號,https://maps.app.goo.gl/5K4qBWrTmFXdBnbZA,非特約商店,火鍋、午餐、晚餐、宵夜、24小時營業、早餐、午餐、晚餐、宵夜,中原夜貓子的深夜救星『老湯鍋24H』！主打全天候不打烊，隨時都能吃鍋。湯頭鮮美不死鹹，肉片軟嫩、青菜配料給得大方。最狂的是店內冰淇淋、肉燥飯甚至連涼麵都無限供應。網評大讚：『CP值爆表，中壢最強平價宵夜！』,"24.958717264900095, 121.23894239391122",
107,柴柴鹹酥雞(炸物),炸物,4.8,16:50-02:30(週五、六公休),0963-808-279,實踐路276號,https://maps.app.goo.gl/X5qKFF8qkfXWk4Yk9,非特約商店,雞排、炸物、鹽酥雞、晚餐、宵夜,中原炸物控的私房名單！主打現點現炸、乾淨衛生的特色炸物。魷魚圈Q彈有嚼勁、雞排厚實多汁，獨門胡椒粉鹹香帶勁，完美襯托出食材的甘甜。網路口碑一致好評大讚：『脫油功夫厲害，放涼依然香酥脆，絕對是無限回訪的寶藏店！』,"24.958407638481706, 121.23975892644891",
108,羽之鍋-中壢,火鍋,4.4,11:00-22:00,無,中北路160號1 樓,https://maps.app.goo.gl/4uuyWfEG1Kd8UEmW9,非特約商店,火鍋、午餐、晚餐,學生族與大胃王的私房點心基地！主打百元高性價比的多元鍋物，香蒜鮮魚鍋湯頭順口、食材新鮮，麻辣鍋重口味過癮。最大賣點是豐富到讓人驚豔的自助百匯，從正餐的肉鬆滷肉飯到飯後的小麻糬、頂級冰淇淋一應俱全。網路口碑盛讚：『菜色超有誠意，吃一餐直接飽兩頓！』,"24.957094329824624, 121.2395781018509",
109,德式披薩,德式,4.7,11:00-20:00(週三、四公休),0965-194-321,大仁街51號1F,https://maps.app.goo.gl/JfJVY6Yq67VMv6aj8,非特約商店,披薩、焗烤、午餐、晚餐、中原夜市,中原學區屹立不搖的爆高CP值『德式披薩』！主打百元上下的平價個人披薩，老字號招牌深植人心。現烤餅皮外酥內軟、越嚼越香，鋪上滿滿牽絲起司，鹹甜交織的黑糖珍奶口味更是驚艷。網評大讚：『學生族與省錢靈魂的必吃神店！』,"24.956312941791726, 121.24146218835844",
110,紅美越食堂,越式,3.5,10:00-22:00,03-283-0306,新中北路199號,https://maps.app.goo.gl/mAyeGu282n4jitbz7,非特約商店,越式、河粉、炒飯、午餐、晚餐,越南菜控的私房排隊名單！主打真材實料的家常越式料理，現炸炸春捲外皮極致酥脆、內餡紮實，沾上特調魚露酸甜開胃；酸辣海鮮河粉濃郁夠味。網路口碑激推：『調味酸辣過癮極其道地，內用環境乾淨，天天吃都不膩！』,"24.959029598808428, 121.23894446137355",
111,唐老鴨牛排館總店,牛排,3.9,10:30-22:00(週一公休),03-456-9221,新中北路220號,https://maps.app.goo.gl/mPvaAsRUz4THG4yw8,非特約商店,牛排、鐵板麵、午餐、晚餐,陪伴無數中原人長大的私房台式牛排！特色在於份量誠意十足的鐵板排餐。雞腿排外皮煎到金黃酥脆、切開多汁，搭配Q彈有勁的鐵板麵與半熟蛋，鹹香醬汁完美融合。網路口碑激推：『酥皮濃湯烤得超完美，出餐快、環境乾淨，回訪率百分百！』,"24.959038837484233, 121.23950210555277",
112,磐岩妙廚,中式,3.9,"週四00:00-08:30, 09:30-20:30，其他09:30-20:30",03-465-1313,新中北路80號,https://maps.app.goo.gl/3rAVbUCpZa3dirReA,非特約商店,便當、麵、炒菜、炒物、炸物、炒飯、午餐、晚餐,蔬食控與健康主義者的私房寶藏店！主打真材實料、現點現做的特色創意蔬食。餐點口味既有家常的溫馨，又有令人驚艷的濃郁香氣，蔬菜清脆、米飯Q彈、醬汁鹹香下飯。網路口碑盛讚：『百元價格就能吃到大廚級的用心，天天吃都無負擔！』,"24.95747177794014, 121.23721696507538",
113,臭一臭 現蒸臭豆腐,素食、小吃,4.5,17:00-23:30(週一公休),03-416-3412,三和三街30號,https://maps.app.goo.gl/Dw5ze5ztSuHKyDK16,非特約商店,素食、臭豆腐、麵、乾拌麵、晚餐、中原夜市,老饕私藏的健康系宵夜首選！主打非油炸的清蒸特色臭豆腐，九層塔與薑絲香氣撲鼻，辣度從微辣到大辣皆可客製化。豆腐孔洞完美鎖住鹹香微酸的湯汁，口感扎實有彈性。網路口碑盛讚：『臭得夠香、辣得過癮，是回訪率百分百的在地寶藏！』,"24.954713453219817, 121.24049637116413",
114,沙郎嘿韓式餐廳,韓式,4.3,"11:30-14:00, 17:00-20:30(週三、四公休)",03-438-0224,實踐路225-9號,https://maps.app.goo.gl/PBijp9kHW48KcuRM6,非特約商店,鍋物、韓式、韓式炸雞、拌飯、午餐、晚餐,中原商圈正宗韓味『沙郎嘿韓式餐廳』！特色在於由韓國老闆親自經營，點主餐就送多款道地小菜與飲料無限續加。招牌海鮮煎餅厚實酥脆、料多實在，部隊鍋湯頭濃郁酸辣超下飯。網評狂讚：『小菜續到爽，平價大份量絕對必回訪！』,"24.957518372017862, 121.23833924047742",
115,麥町吐司工房（中壢新中北店）,早午餐,4,平日06:30-13:30，假日07:00-13:30(週一、三、四公休),03-451-8351,新中北路417號,https://maps.app.goo.gl/JyRfKNjVneVufH597,非特約商店,漢堡、吐司、蛋餅、早餐店、早餐,傳統與創意兼具的私房早餐基地！店家特色在於將經典烤肉、地瓜抓餅與古早味麵線完美結合。現煎蛋餅皮酥內軟，包裹特製烤肉口感層次分明、微甜鹹香，搭配大份量價格佛心。網路口碑一致激推：『出餐快速、調味極佳，是回訪率爆高的早午餐首選！』,"24.958813976455467, 121.24423227671691",
116,八哥重慶酸辣粉 中原夜市美食店,中式,4,11:00-21:00,0902-003-036,實踐路36號,https://maps.app.goo.gl/JAXdTHnbYTRhLEuK6,非特約商店,酸辣粉、口水雞、午餐、晚餐、中原夜市,中原夜市必吃排隊名店『八哥重慶酸辣粉』！特色在於湯頭酸辣度與主食皆可客製化。紅薯粉條Q彈滑順、極具嚼勁，吸飽麻辣鮮香的靈魂湯汁後，口感層次分明、酸辣過癮。網評狂讚：『辣得正宗、酸得夠味，絕對是嗜辣控的天堂！』,"24.95439633557982, 121.24238665582075",
117,兆邑現炒館,中式,3.6,11:00-22:00,03-456-6228,弘揚路100號,https://maps.app.goo.gl/ff756oEwifTMDrQF7,非特約商店,烏龍麵、炒麵、炒飯、燴飯、湯、午餐、晚餐,熱炒控與大胃王學生的私房熱血基地！主打百元平價的道地台式現炒，宮保雞丁外酥內嫩、麻辣花生香脆過癮；客家小炒鹹香帶勁、極具嚼勁。網路口碑一致激推：『調味剛好不死鹹，環境熱鬧有朝氣，是回訪率百分百的在地神店！』,"24.954190727050122, 121.24200381534335",
118,金蘭小吃,中式,3.5,16:00-03:00(週日公休),03-456-0800,日新路56號,https://maps.app.goo.gl/iydbnPkZzmbrryjb7,非特約商店,湯麵、炒麵、炒飯、燴飯、湯、宵夜、晚餐,中原學區必吃古早味老店『金蘭小吃』！特色在於無人能敵的佛心價格與超大份量，內用還附免費飲料。招牌滷肉飯鹹香肥美、非常入味，各式炒麵炒飯鑊氣十足。網評狂讚：『老闆根本做功德，省錢填飽肚子的唯一首選！』,"24.95468756268644, 121.23963322089617",
119,朝天椒麻辣鴛鴦火鍋店,火鍋,4.2,11:00-01:00,03-466-8858,力行北路93號,https://maps.app.goo.gl/jkpbEHNCfNwhjxNo9,非特約商店,麻辣鴛鴦火鍋、火鍋、午餐、晚餐、宵夜,火鍋控與大胃王的私房朝聖基地！主打真材實料的特色鴛鴦鍋，大骨清湯甘甜順口，麻辣湯頭醇厚香濃。滷牛肚、滷大腸Q彈有嚼勁，搭配爆汁鴨血口感層次分明。網路口碑一致激推：『冰淇淋口味超多，環境熱鬧，是聚餐回訪率爆高的神店！』,"24.955708188458782, 121.23857941534337",
120,食麪 炒泡麵 炒麵,宵夜、小吃,4.4,18:00-00:00(週三、六公休),0960-810-163,大仁三街22號,https://maps.app.goo.gl/p3H7LmyNSxwMPtNK6,非特約商店,炒泡麵、炒麵、晚餐、宵夜,中原夜貓子激推的宵夜神店『食麪』！最大特色在於營業到深夜，主打大火現點現炒的創意麵食。招牌炒泡麵麵條Q彈不爛，完美吸附大火爆炒的鑊氣與鹹香醬汁，搭配半熟蛋極其邪惡。網評狂讚：『宵夜吃這個超療癒，百元平價又大碗！』,"24.955385708626793, 121.24189550000003",
121,生活故事複合式餐坊,中式、義式、輕食,4.1,12:00-21:00(週四公休),03-456-1366,力行北街32號,https://maps.app.goo.gl/qCy9z8yaRwQJYLEP9,非特約商店,義大利麵、燉飯、披薩、下午茶、午餐、晚餐,中原人聊天聚餐的經典回憶『生活故事複合式餐坊』！特色在於環境寬敞溫馨，主打價格親民的多元簡餐。招牌椒麻雞外酥內嫩、酸辣夠味，搭配附贈的『巨無霸超大杯飲料』更是佛心。網評狂讚：『學生時期聚會首選，便宜大碗、坐著聊天超舒服！』,"24.954349935890196, 121.24023937856784",
122,小而大餃子館,中式,4.4,"11:30-13:30, 17:00-19:30(假日公休)",03-465-6764,實踐路258號,https://maps.app.goo.gl/3An2u76XSrz6Wz6B9,非特約商店,水餃、麵、乾拌麵、飯、湯、午餐、晚餐,陪伴無數中原人長大的私房台式家常麵食館！店家特色在於堅持傳統手工揉製麵皮。招牌韭菜水餃香氣濃郁、肉質鮮嫩紮實，麻醬麵香濃順口，口感層次豐富。網路口碑一致激推：『小菜選擇豐富又便宜，出餐快、調味懷舊，是天天回訪都不膩的在地寶藏！』,"24.958057150338153, 121.23942088835845",
123,麵屋杉貝｜𝐒𝐔𝐆𝐈𝐊𝐀𝐈,日式,4.3,17:00-20:30(週日、一公休),無,三和二街9號1樓,https://maps.app.goo.gl/vVbokRLuvRBmmxq38,非特約商店,日式、拉麵、晚餐,拉麵控與饕客的私房排隊名單！店家特色在於結合日式職人精神與親民價格。招牌乾拌双撈麵麵條極具嚼勁、Q彈吸汁，拌入特製醬汁鹹香開胃，口感層次豐富。網路口碑一致好評：『叉燒油香迷人，環境日系舒適，是回訪率百分百的寶藏拉麵店！』,"24.955091089336314, 121.24040659814911",
124,寶寶屋韓式料理,韓式,3.9,"12:00-14:00, 17:00-21:00(週一公休)",0955-618-186,大仁五街37號,https://maps.app.goo.gl/uYUEhyEqG1NfEVVcA,非特約商店,鍋物、韓式、辣炒年糕、拌飯、午餐、晚餐,中原學區抗通膨佛心代表『寶寶屋韓式料理』！特色在於主打百元上下的極致平價。招牌部隊鍋大碗滿意，湯頭酸辣開胃，吸飽湯汁的泡麵搭配熔化起司極其邪惡。網評狂讚：『這價格與份量根本做功德，學生省錢飽餐一頓的唯一首選！』,"24.956576398436912, 121.2405762075882",
125,Yes補給站 早午餐&漫畫,早午餐,4.6,07:00-13:30,03-436-4713,實踐路225-22號,https://maps.app.goo.gl/ae1GUUHvnkMuY6pX7,非特約商店,漢堡、吐司、蛋餅、早餐店、早餐,中原學區傳奇複合式早午餐『Yes補給站』！最大特色在於點餐就能無限暢讀飽覽無數漫畫與小說。招牌卡拉雞腿堡外酥內嫩、漢堡麵包蓬鬆，搭配特調醬汁十分開胃。網評狂讚：『有吃又有得看，冷氣涼、CP值爆高，消磨午後時光的最佳聖地！』,"24.957676677713504, 121.2391501957621",
126,口吅品平價牛排專賣店中原店,牛排,3.4,平日15:30-23:00，假日16:00-23:00,03-283-0553,實踐路89號,https://maps.app.goo.gl/2AkA2LnoEZEHawex9,非特約商店,牛排、鐵板麵、午餐、晚餐,熱血學生與夜市饕客的私房高性價比基地！店家特色在於將高CP值排餐與醇厚臭豆腐完美結合。現炙沙朗牛排在鐵板上滋滋作響、油香四溢，搭配爆汁麻辣鴨血口感層次豐富。網路口碑一致激推：『調味濃郁過癮，自助吧誠意十足，是回訪率爆高的神店！』,"24.95499698947014, 121.24147220370182",
127,漢堡邦 中原大仁店,早午餐,4.5,06:00-13:30(週日公休),03-466-1528,大仁路64號,https://maps.app.goo.gl/39iZHJuwMpbLmbMp6,非特約商店,漢堡、吐司、蛋餅、早餐店、早餐,中原學區高人氣早午餐『漢堡邦』！特色在於主打平價多樣的美式漢堡與台式早餐組合。招牌牛肉堡肉排紮實、醬汁濃郁，麵包體烤得蓬鬆微酥，大口咬下鹹香過癮。網評狂讚：『餐點選擇超豐富、價格親民，是學生百元吃飽的晨間首選！』,"24.955956960981506, 121.24185742274705",
128,萬名麵,台式,4.1,11:30-19:30(週三、六公休),03-436-6839,實踐路80巷9號,https://maps.app.goo.gl/ehaBqztUYrvBEoe27,非特約商店,麵、飯、客家麵食、湯、午餐、晚餐、中原夜市,中原學區傳奇佛心老店『萬名麵』！最大特色在於驚人的百元超大份量與平價家常菜色。招牌滷肉飯鹹香肥美、十分入味，各式乾麵、湯麵更是大碗滿意。網評狂讚：『老闆根本做功德，用銅板價就能體驗極致飽足感的唯一首選！』,"24.955815242578176, 121.2413343343886",
129,州味涼麵 (Marita’s Filipino Restaurant),菲律賓餐廳,4.7,12:00-19:00(週日公休),無,大仁街49號,https://maps.app.goo.gl/5EYJN1DhDBbg9R3e6,非特約商店,炒飯、涼麵、午餐、晚餐,異國料理控與學生的私房美食基地！店家特色在於提供驚豔的菲式家常菜與傳統台味。現點現做的菲式炸春捲外皮酥脆、內餡紮實，搭配特製酸甜醬汁，口感層次豐富且極其開胃。網路口碑一致激推：『份量大、老闆娘超親切，是回訪率爆高的寶藏店！』,"24.95651267689323, 121.24126795767167",
130,7號鬆餅屋 中壢中原店,甜品,4.3,11:30-20:00,03-436-6880,實踐路9號91巷,https://maps.app.goo.gl/VhHvfiWDx6VWsUua8,非特約商店,炸物、鬆餅、甜點,中原學區超人氣甜點『7號鬆餅屋』！特色在於主打現點現烤、口味極其豐富的平價格子鬆餅。招牌蜂蜜鮮奶油鬆餅外皮酥脆、內裡蓬鬆紮實，搭配綿密甜而不膩的鮮奶油，口感層次分明。網評狂讚：『下午茶CP值首選，便宜又大塊！』,"24.954614526648356, 121.24104788650753",
131,中原麵疙瘩,中式,4.3,"11:00-14:30, 16:30-19:30(週五、六公休)",03-436-3156,實踐路61號,https://maps.app.goo.gl/j8y4P6sHVqKVJ4xH7,非特約商店,麵疙瘩、牛肉麵、湯、麵、午餐、晚餐、中原夜市,中原學區屹立不搖的手工老店『中原麵疙瘩』！最大特色在於驚人的平價百元大份量與現點現煮。招牌海鮮麵疙瘩湯頭清甜順口，手工捏製的麵疙瘩口感極其Q彈、紮實有嚼勁。網評狂讚：『大碗滿意、配料豐富，省錢飽餐一頓的唯一首選！』,"24.95475336204454, 121.24170599999997",
132,嘉義雞肉飯,台式,2.9,11:00-23:00,03-438-0607,實踐路111號,https://maps.app.goo.gl/MwPz1G4EjTCMaEoK6,非特約商店,雞肉飯、滷肉飯、湯、午餐、晚餐、中原夜市,陪伴中原學生長大的私房台式家常便當基地！店家特色在於堅持傳統風味與親民價格。現點現切的雞肉質地軟嫩不柴，搭配鹹甜交織的特製醬汁，口感層次分明且極具飽足感。網路口碑一致激推：『小菜多樣又便宜，出餐迅速，是天天回訪都不膩的寶藏店！』,"24.95554010597674, 121.2407123441792",
133,台灣第一家鹽酥雞-中原,炸物,4.5,18:00-01:00(週一、二、三公休),無,新中北路252號,https://maps.app.goo.gl/w3a2CyvF29eCSWe5A,非特約商店,炸物、鹽酥雞、晚餐、宵夜,夜貓子與炸物控的私房宵夜基地！店家特色在於堅持現點現炸與香氣迷人的台式風味。現炸魷魚圈Q彈有嚼勁，雞排厚實飽滿，搭配微甜鹹香的特製醬汁，口感層次豐富。網路口碑一致激推：『脫油乾爽、價格平實，是回訪率百分百的宵夜神店！』,"24.960117359730766, 121.24155215236179",
134,東興素食,素食,4.3,平日15:00-20:30，假日11:30-20:30(週二、三公休),0925-001-659,大仁三街12號,https://maps.app.goo.gl/xRfNdt9f5zp9PhSG8,非特約商店,素食、炸物、麵、湯、水餃、午餐、晚餐、中原夜市,中原蔬食控的佛心基地『東興素食』！特色在於親民的銅板價格與豐富的素食小吃選擇。招牌素魯飯鹹香入味、毫不油膩，搭配料多實在的當歸湯，暖胃又滿足。網評狂讚：『平價大份量，調味乾淨舒服，是學區內最推薦的素食首選！』,"24.95528501623791, 121.2422902859715",
135,源香拌麵(福州乾拌麵)中原店,中式,4.7,"10:30-14:00, 16:30-20:00(週日公休)",03-462-7960,新中北路412號,https://maps.app.goo.gl/RkVL38DU4nV2qyYu6,非特約商店,麵、乾拌麵、湯、午餐、晚餐,中原商圈必吃經典『源香拌麵』！最大特色在於簡單卻不平凡的福州乾拌麵，可依個人喜好自由添加烏醋與辣油。麵條Q彈有勁，與醬汁完美融合，入口微酸帶辣極其開胃。網評狂讚：『傻瓜麵便宜大碗，自己調味超有趣，回訪率爆高！』,"24.95880662218014, 121.24389003253775",
136,龜記茗品-中壢中原店,手搖飲,4.7,11:00-23:00,03-438-8077,實踐路110號,https://maps.app.goo.gl/SrkYHhXo3DvUJBff7,非特約商店,飲料、手搖飲料,手搖控與學生的私房飲品基地！店家特色在於堅持天然原味與獨特茶韻。現調『三韻紅萱』茶香濃熟、帶有淡淡奶香與蜜香，口感滑順回甘、不苦不澀。網路口碑一致激推：『調味高雅不甜膩，咀嚼系加珍珠超Q彈，回訪率百分百！』,"24.9561812233264, 121.24069096137357",
137,韓你一口-中原店,韓式,4.6,16:00-22:30(週四、六公休),0908-180-916,弘揚路102號,https://maps.app.goo.gl/wFbZ6nVSTEP7ARi97,非特約商店,韓式、韓式熱狗，韓式炸機、晚餐、中原夜市,韓食控與夜貓子學生的私房點心基地！店家特色在於將經典炸雞、年糕與魚板完美結合。現炸的年糕外酥內軟極具嚼勁，搭配濃郁起司風味，口感層次豐富、鹹香罪惡。網路口碑一致激推：『出餐快速、份量誠意十足，是解饞回訪的首選神店！』,"24.954213008803535, 121.24236386692625",
138,鐵三中螺螄粉 中原店,中式,5,11:00-02:00,03-456-5579,實踐路96-1號,https://maps.app.goo.gl/4tRycutEvjEb6MTXA,非特約商店,螺螄粉、午餐、晚餐、宵夜、中原夜市,螺螄粉控與大胃王學生的私房元氣基地！店家特色在於提供道地柳州風味與高CP值大份量。現點現煮的螺螄粉配上爽脆酸豆角與香脆花生，口感層次極其豐富，湯頭酸爽帶勁。網路口碑一致激推：『調味道地、出餐快，回訪率百分百！』,"24.955857288246726, 121.24116264364324",
139,寶島8號雞排-中原店,炸物,4.9,16:00-00:00(週一公休),無,日新路77號1樓,https://maps.app.goo.gl/TjWQf6sL2ciZwdFz7,非特約商店,雞排、鹽酥雞、炸物、晚餐、宵夜、中原夜市,中原學區罪惡宵夜首選『寶島8號雞排』！特色在於主打超厚切且飽滿多汁的台式雞排。現炸雞排外皮金黃酥脆、內裡肉質極其軟嫩，大口咬下滿滿肉汁，鹹香過癮。網評狂讚：『肉超厚、完全不柴，絕對是深夜解饞的唯一救星！』,"24.955420261702358, 121.23997410185089",
140,拾汣茶屋 中壢中原店,手搖飲,4,10:30-01:00,0983-379-835,日新路81號,https://maps.app.goo.gl/rZN9HbQaZxKfRCcj6,非特約商店,飲料、手搖飲料,手搖控與大胃王學生的私房解渴基地！店家特色在於將經典茶湯與創意配料完美結合。現調的『珍珠鮮奶茶』乳香濃郁、茶韻悠長，搭配蜜漬珍珠軟Q有嚼勁，口感圓潤不甜膩。網路口碑一致激推：『出餐超快、性價比頂天，天天回訪都不傷荷包！』,"24.95548245298266, 121.24038288041879",
141,中發白鹽水雞（中原店）,炸物,4.9,17:00-00:00(週一公休),0988-363-190,弘揚路96號,https://maps.app.goo.gl/ZVM4K1Bod8ja7hUX7,非特約商店,鹽水雞、晚餐、宵夜、中原夜市,夜貓子與外食族的私房宵夜基地！店家特色在於提供多樣化百搭小菜與香氣十足的台式風味。鹹水雞皮脆肉嫩，可依個人喜好加入蒜泥與生辣椒，口感層次豐富、香辣開胃。網路口碑一致激推：『份量有誠意、蔥蒜給得大方，是回訪率爆高的寶藏店！』,"24.95403005447431, 121.2425016282998",
142,八里香鹽酥雞-中原店,炸物,4.8,17:00-23:00(假日、週一公休),0903-309-926,新中北路404號,https://maps.app.goo.gl/aKpTAT2Jw1p4s6Gd9,非特約商店,雞排、鹽酥雞、炸物、晚餐,中原學區宵夜首選『八里香鹽酥雞』！特色在於獨家研發的中藥胡椒鹽，香氣極其迷人。招牌鹽酥雞外皮金黃酥脆、內裡肉質軟嫩多汁，搭配九層塔重口味過癮。網評狂讚：『脫油乾爽不油膩，獨門香氣太誘人，絕對是深夜解饞的唯一救星！』,"24.95890541837586, 121.24358294907539",
143,一生懸雞 中原店,炸物,"4,8",15:00-03:00(週一公休),0925-830-630,力行北街50號1樓,https://maps.app.goo.gl/t7UhTaUuhTMfruzSA,非特約商店,炸物、雞排、燒烤、晚餐、宵夜、中原夜市,夜貓子與學生的私房宵夜基地！店家特色在於現點現炸、真材實料的澎湃份量。招牌大雞排厚實軟嫩，外酥內軟、油香四溢，搭配特製胡椒鹽，口感層次分明、鹹香罪惡。網路口碑一致激推：『出餐速度快、份量誠意十足，是回訪率爆高的神級炸雞！』,"24.95464726274056, 121.24041303873214",
144,COMEBUY 中壢中原店,手搖飲,4.1,10:00-23:00,03-437-8497,三和二街23號,https://maps.app.goo.gl/NQb4GMvurHvXVw1SA,非特約商店,飲料、手搖飲料,手搖控與大胃王學生的私房解渴基地！店家特色在於堅持真材實料與創新的鮮果調茶。現調『海神』茶湯帶有淡淡蜂蜜與水果香氣，口感滑順回甘、清爽解膩。網路口碑一致激推：『調味高雅不甜膩，出餐速度極快，是天天回訪都喝不膩的寶藏店！』,"24.95533578898837, 121.24166616941699",
145,菓點子（中壢中原店）,手搖飲,4.7,11:00-22:00,03-469-6888,大仁四街15號,https://maps.app.goo.gl/xpEiWfVGWMDLea7D8,非特約商店,飲料、手搖飲料,手搖控與健康外食族的私房飲品基地！店家特色在於將高規格鮮果與台式手搖完美結合。現調的『繽紛水果茶』酸甜交織、果香四溢，搭配清脆配料，口感層次極其豐富。網路口碑一致激推：『用料紮實、大杯滿意，是回訪率百分百的良心果茶！』,"24.956140652306605, 121.24165725037606",
146,勞碌命-鍋燒意麵 中壢中原店,中式,4.3,11:00-22:00,03-466-5757,大仁五街13號,https://maps.app.goo.gl/mzs6bGqBTKb2nYnf6,非特約商店,鍋燒意麵、午餐、晚餐,主打深夜營業的平價麵食。店家大方鋪上鮮蝦、蛤蜊與飽滿蛋包，走大份量路線。若點沙茶或麻辣口味，濃郁的香氣會直接附著在細麵上，入口滑順、辣度帶勁且不燥口。許多學生分享，這裡的調味恰到好處，既能吃得飽足又不會對荷包造成負擔，是夜宵的口袋名單。,"24.956098189710914, 121.24091288530794",
147,喫夥鍋-時尚百元小火鍋-中壢中原店,火鍋,4.8,"平日11:00-14:30, 16:30-21:30，週六11:00-00:00，週日00:00-09:30, 11:00-21:30",03-416-3608,實踐路239號,https://maps.app.goo.gl/9aBE6j6q744W4kY57,非特約商店,火鍋、午餐、晚餐,主打高性價比的單人小火鍋。每鍋盛滿了新鮮蔬菜與經典火鍋料，誠意十足。招牌濃郁湯底在慢火熬煮下越煮越香，沾上特調醬料後的食材非常下飯，白飯與飲料無限供應更是讓人吃得飽足。很多人體驗後分享，這家店出餐速度快、食材新鮮度過關，是嘴饞想吃火鍋時可以輕鬆造訪的口袋名單。,"24.958143738898766, 121.23948082948594",
148,脆波雞排中原店,炸物,3.6,15:00-04:30,03-466-1866,實踐路111號,https://maps.app.goo.gl/31PyhCpNjNX6mWvF8,非特約商店,雞排、炸雞、炸物、晚餐、宵夜、中原夜市,主打新穎酥脆口感的特色雞排。店家拋棄了傳統台式麵衣，改用能帶來顆粒脆感的粉漿，炸得金黃耀眼。厚實的雞排咬起來扎實有滿足感，調味帶點淡淡的甘甜與鹹香。許多熱愛炸物的饕客分享，這種有別於傳統雞排的獨特脆度非常過癮，是嘴饞想換換口味時的點心好選擇。,"24.955310997729345, 121.2405381644178",
149,墨竹亭 燃麵本家 中壢中原店,中式,4.9,"11:30-14:00, 16:00-20:00",03-466-2221,日新路7號,https://maps.app.goo.gl/tzFDgZLF9btHP3fV7,1.送開胃菜或飲料(紅茶、綠茶) 2.四人同行(四份套餐)招待一份「功夫菜-口水雞」,麵、水餃、口水雞、午餐、晚餐,主打道地四川燃麵與經典乾拌麵系列。麵條均勻裹上香氣濃郁的特製醬料，伴隨碎花生與蔥花的酥脆顆粒感，口感層次鮮明、香辣開胃。許多喜歡吃辣的朋友分享，這裡的辣度溫和、帶有微微酸甜提味，出餐迅速且內用環境整潔，非常適合平日午晚餐想換換口味時造訪。,"24.95434888125485, 121.2383982538248",
150,趙喜妹-叫你來吃麵，中原夜市小吃、中原美食,中式,4.6,11:00-21:00,03-456-1858,實踐路55號,https://maps.app.goo.gl/LFoUiVwD9jYXoad27,非特約商店,麵、飯、水餃、午餐、晚餐、中原夜市,這家隱身在夜市裡的麵食小吃，特色在於將經典的古早味發揮得淋漓盡致。湯麵的湯頭清甜不膩，搭配爽口的細麵與切得厚實的黑白切小菜，鹹香的醬油膏更勾勒出食材的新鮮。許多外食族分享，這家店的口味很有媽媽的味道，上菜速度快，是夜市裡想要吃飽、吃得踏實的在地好味道。,"24.95457799900335, 121.24294916332074",
151,純i串燒販賣所-中原店,台式燒烤,4.6,17:00-01:00,0963-761-441,大仁街60號,https://maps.app.goo.gl/wigveiZc9G84AHbn9,非特約商店,烤物、晚餐、宵夜,這家串燒店特色在於引進新穎的自動販賣機點餐模式，營造放鬆且具現代感的用餐氛圍。肉串在高溫烘烤下鎖住香甜肉汁，外皮微焦香，刷上特製醬汁後鹹甜交織、極為入味。許多造訪過的客人都稱讚，這裡點餐方便、火候控制得當，非常適合下班後和朋友點幾串小酌聚會。,"24.95612376075747, 121.24252315962228",
152,麻古茶坊-中壢中原店,手搖飲,4.2,10:00-22:00,03-466-1339,中北路5號,https://maps.app.goo.gl/ntnpytNQ68pKasuz8,非特約商店,飲料、手搖飲料,這家手搖飲特色在於將高規格的鮮果融入飲品，開創了喝飲料像吃甜點的風潮。招牌系列將現打冰沙鋪上厚厚一層綿密芝士，微鹹的奶蓋搭配飽滿的果粒與綠茶凍，口感酸甜滑順、層次豐富。許多常客分享，這裡的果肉給得非常大方，雖然價格偏高，但每一口都能咬到真材實料，是犒賞自己的下午茶首選。,"24.95599099654742, 121.23575142208902",
