ID,店名,料理標籤,星級評分,營業時間,店家電話,地址,Google Map 網址,特約優惠,關鍵詞,介紹
31,路邊烤肉WildBBQ 桃園中原店（桃園中壢區必吃宵夜／中壢平價美食串燒推薦／桃園家庭聚餐餐廳推薦）,燒烤,4.9,17:00-00:00,0921-500-069,中北路182號,"https://www.google.com/maps/place/%E8%B7%AF%E9%82%8A%E7%83%A4%E8%82%89WildBBQ+%E6%A1%83%E5%9C%92%E4%B8%AD%E5%8E%9F%E5%BA%97%EF%BC%88%E6%A1%83%E5%9C%92%E4%B8%AD%E5%A3%A2%E5%8D%80%E5%BF%85%E5%90%83%E5%AE%B5%E5%A4%9C%EF%BC%8F%E4%B8%AD%E5%A3%A2%E5%B9%B3%E5%83%B9%E7%BE%8E%E9%A3%9F%E4%B8%B2%E7%87%92%E6%8E%A8%E8%96%A6%EF%BC%8F%E6%A1%83%E5%9C%92%E5%AE%B6%E5%BA%AD%E8%81%9A%E9%A4%90%E9%A4%90%E5%BB%B3%E6%8E%A8%E8%96%A6%EF%BC%89/@24.9570792,121.2399327,17z/data=!4m15!1m8!3m7!1s0x346823d0e160e105:0xc63426b58ef03ec5!2z6Lev6YKK54Ok6IKJV2lsZEJCUSDmoYPlnJLkuK3ljp_lupfvvIjmoYPlnJLkuK3lo6LljYDlv4XlkIPlrrXlpJzvvI_kuK3lo6LlubPlg7nnvo7po5_kuLLnh5LmjqjolqbvvI_moYPlnJLlrrbluq3ogZrppJDppJDlu7PmjqjolqbvvIk!8m2!3d24.9569972!4d121.2399743!10e9!16s%2Fg%2F11wbfmh2pz!3m5!1s0x346823d0e160e105:0xc63426b58ef03ec5!8m2!3d24.9569972!4d121.2399743!16s%2Fg%2F11wbfmh2pz?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",來店消費憑學生證可兌換煉乳烤麻糬乙份（備註：不與其他任何優惠共用）,烤肉、酒、串燒、晚餐、宵夜,推薦蘋果豬五花及蒜酥雞腿排。蘋果豬五花將蘋果烤軟，蘋果的清香搭配豬五花的油潤，兩者綜合在一起，將豬五花的油膩感有效消除，吃起來口齒留香，非常過癮。
32,軟蛋醬 蛋包飯專門製作所 桃園中原店,日式,5,"11:00-13:30, 16:30-21:00",0928-999-740,新中北路131號,"https://www.google.com/maps/place/%E8%BB%9F%E8%9B%8B%E9%86%AC+%E8%9B%8B%E5%8C%85%E9%A3%AF%E5%B0%88%E9%96%80%E8%A3%BD%E4%BD%9C%E6%89%80+%E6%A1%83%E5%9C%92%E4%B8%AD%E5%8E%9F%E5%BA%97/@24.9581825,121.237746,17z/data=!3m1!4b1!4m6!3m5!1s0x3468230641792923:0x26682fee8f0c2677!8m2!3d24.9581825!4d121.237746!16s%2Fg%2F11xd9q45yz?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.贈送30元飲料一杯或起司一片，不限外帶或內用 2.於Google評論五星好評及追蹤店家IG帳號，送50克的舒肥雞肉乙份,咖哩、蛋包飯、午餐、晚餐,一份蛋包飯竟有八種口味任你選，而且通通只要 $139！
33,SaltMate鹹夥伴,甜品,4.8,13:00-20:00,0976-200-351,中山路324號,"https://www.google.com/maps/place/SaltMate%E9%B9%B9%E5%A4%A5%E4%BC%B4-%E4%B8%AD%E5%A3%A2%E5%B9%B3%E5%83%B9%E9%BB%9E%E5%BF%83%7C%E7%94%9C%E9%BB%9E%E6%8E%A8%E8%96%A6%7C%E7%84%A1%E9%BA%A9%E8%B3%AA%E9%9B%9E%E8%9B%8B%E7%B3%95%7C%E5%9C%A8%E5%9C%B0%E6%8E%A8%E8%96%A6%E9%BB%9E%E5%BF%83%7C%E8%94%AC%E9%A3%9F%E9%BB%9E%E5%BF%83%7C%E5%BF%85%E5%90%83%E4%B8%8B%E5%8D%88%E8%8C%B6%7C%E6%9C%83%E8%AD%B0%E6%B4%BB%E5%8B%95%E8%8C%B6%E9%BB%9E%E6%8E%A8%E8%96%A6%7C%E9%B9%B9%E5%9C%88%E5%9C%88%7C%E5%8D%88%E6%99%9A%E9%A4%90/@24.9567103,121.2202289,17z/data=!3m1!4b1!4m6!3m5!1s0x3468237c89e9f751:0xb7d5d923fae6aec7!8m2!3d24.9567103!4d121.2202289!16s%2Fg%2F11ybxc8ry8?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.單價60元以上品項均享95折優惠 2.單次購買150元享總價10元折扣,甜甜圈、雞蛋糕、甜點,甜甜圈的外型，鹹口味的內在，天然餡料營養豐富。老闆放料不手軟，料多好實在。無麩質配方，不含麵粉，麩質過敏體質可用。
34,小螺莉螺螄粉 - 柳州螺螄粉 | 武漢熱乾麵｜東北麻辣燙 | 中原美食,中式,4.9,11:30-22:00,0919-261-220,實踐路138號,"https://www.google.com/maps/place/%E5%B0%8F%E8%9E%BA%E8%8E%89%E8%9E%BA%E8%9E%84%E7%B2%89+-+%E6%9F%B3%E5%B7%9E%E8%9E%BA%E8%9E%84%E7%B2%89+%7C+%E6%AD%A6%E6%BC%A2%E7%86%B1%E4%B9%BE%E9%BA%B5%EF%BD%9C%E6%9D%B1%E5%8C%97%E9%BA%BB%E8%BE%A3%E7%87%99+%7C+%E4%B8%AD%E5%8E%9F%E7%BE%8E%E9%A3%9F/@24.956089,121.240069,17z/data=!3m1!4b1!4m6!3m5!1s0x346823ffcc7b2caf:0xedb9f3761a3f12e9!8m2!3d24.956089!4d121.240069!16s%2Fg%2F11y6hv7f0d?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.二話不說：整單95折 2.快樂時光：平日下午兩點到四點，點主餐送炸蛋 3.歡樂派對：四人同行招待四兄弟拼盤一份 （備註：以上優惠擇一使用，不可與其他優惠同時使用）,螺絲粉、麵、午餐、晚餐,主打由重慶老闆娘親自熬製的真螺肉湯頭，酸辣夠味、湯頭濃郁。其特色包括內用免費加湯加粉、提供蠟筆小新手機架等貼心服務，是當地熱門的「嗦粉」地點。
35,潘許先生 無心飲控俱樂部 PIGGY OUT CLUB,中式,4.9,11:30-19:30,0971-896-271,大仁二街18號之6,"https://www.google.com/maps/place/%E6%BD%98%E8%A8%B1%E5%85%88%E7%94%9F+%E7%84%A1%E5%BF%83%E9%A3%B2%E6%8E%A7%E4%BF%B1%E6%A8%82%E9%83%A8+PIGGY+OUT+CLUB/@24.9546618,121.2427675,17z/data=!3m1!4b1!4m6!3m5!1s0x3468232cb4aecec3:0x38ab66833374c389!8m2!3d24.9546618!4d121.2427675!16s%2Fg%2F11kpwmx5nv?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1. 消費滿200元送35元飲品 2.滿千享95折優惠,油飯、涼麵、漢堡、午餐、晚餐,充滿文青幽默感的創意台式餐廳，以獨家研發的「肉抱油飯」聞名，將香噴噴的油飯包裹在紮實肉餅中，再搭配招牌雞白四神湯與靈魂辣椒醬，打造出讓人暫時拋開減肥壓力、大口享受美食的療癒空間。
36,有飲 Youin 創意飲品-中壢中原店,手搖飲,3.6,11:00-21:30,03-283-0089,實踐路132號,https://www.google.com/maps?cid=11154688526113014953,1.消費即享95折優惠 2.配料折抵5元 3.每週五可享純茶系列第二杯半價,飲料、奶茶、手搖飲,「有飲 Youin」主打復古懷舊與新鮮水果風味，特色包含椪糖奶霜系列、優格飲（優優）及清新果茶。必喝推薦包括粉紅泡泡草莓優優、椪糖奶霜紅茶、檸檬綠茶啵啵
37,Nimes尼姆複合式餐飲,義式,4.7,15:00-22:00,03-466-5128,三和三街18號,https://www.google.com/maps?cid=17449399285960255781,凡至店內用餐，點一份主餐（義大利麵類）打卡或Google評論，即贈小圓鬆餅一份，當日送完為止。（優惠備註：點餐時出示學生證並告知，一張學生證，贈送一份小圓鬆餅）,義大利麵、燉飯、焗烤、義式、午餐、晚餐,隱身中原巷弄，Nimes 尼姆 以溫馨鄉村風義式料理聞名。這裡不僅提供份量十足的義大利麵、燉飯及專業素食餐點，更有獨特的命理諮詢服務。無論是想飽餐一頓，還是想與好友聚餐、享受寵物友善的午後，尼姆都能帶給你最療癒的複合式用餐體驗。
38,兩把火干鍋,中式,4.4,11:30-21:00,0975-109-949,大仁五街43號,"https://www.google.com/maps/place/%E5%85%A9%E6%8A%8A%E7%81%AB%E5%B9%B2%E9%8D%8B/@24.9565875,121.2401908,17z/data=!4m15!1m8!3m7!1s0x346821a0bf45a265:0x6958edfeb808095!2z5YWp5oqK54Gr5bmy6Y2L!8m2!3d24.9565338!4d121.2401286!10e9!16s%2Fg%2F11nxt9xbxm!3m5!1s0x346821a0bf45a265:0x6958edfeb808095!8m2!3d24.9565338!4d121.2401286!16s%2Fg%2F11nxt9xbxm?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",無,干鍋、炸物、午餐、晚餐,以「香、麻、辣」三重風味挑戰味蕾極限，並巧妙融合台式風味，每一道干鍋皆採用新鮮食材，經過精湛技法與特製醬料翻炒，香氣四溢、層次豐富。從經典口味到創新搭配，每一口都能感受到用心與創意，是愛好重口味與地道料理饕客的必訪之選。
39,蹭秤中壢中原店-豚骨，麻辣燙，海味，宵夜酒吧,中式,4.8,"11:00-14:00, 17:00-02:00",03-456-0035,實踐路146號1樓,"https://www.google.com/maps/place/%E8%B9%AD%E7%A7%A4%E4%B8%AD%E5%A3%A2%E4%B8%AD%E5%8E%9F%E5%BA%97-%E8%B1%9A%E9%AA%A8%EF%BC%8C%E9%BA%BB%E8%BE%A3%E7%87%99%EF%BC%8C%E6%B5%B7%E5%91%B3%EF%BC%8C%E5%AE%B5%E5%A4%9C%E9%85%92%E5%90%A7/@24.9565688,121.2395905,17z/data=!3m1!4b1!4m6!3m5!1s0x3468233e05f91d35:0xc149015fec86aa91!8m2!3d24.9565688!4d121.2395905!16s%2Fg%2F11xsrr4cdh?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",1.罐裝啤酒九折2.滿低消麵食自選一免費送 3.週三生啤酒買三送一 4.週五生啤酒買五送一（備註：第三、四項優惠不與第一項共用，須擇一使用）,麻辣燙、午餐、晚餐、宵夜,「想吃什麼就夾什麼」，琳瑯滿目的菜色任你挑，搭配上店內濃郁的湯頭和自由的選擇方式，讓每個人都能依照自己的喜好拼湊出專屬的餐點，不論是一個人，還是好友聚餐，這裡都能滿足，最特別的是，店內是夜店風格設計，燈光氛圍酷炫，加上有海尼根生啤酒機
40,中原叭噗（綿綿冰）,甜品,5,12:00-20:30,0975-919-795,新中北路372號,"https://www.google.com/maps/place/%E4%B8%AD%E5%8E%9F%E5%8F%AD%E5%99%97%EF%BC%88%E7%B6%BF%E7%B6%BF%E5%86%B0%EF%BC%89/@24.9587978,121.2427139,17z/data=!3m1!4b1!4m6!3m5!1s0x3468237def27d39b:0xcf014766af857678!8m2!3d24.9587978!4d121.2427139!16s%2Fg%2F11xl5y7dm5?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",享三球折十元之優惠,綿綿冰、冰淇淋、甜點,純手工天然原料綿綿冰，無化學添加，多種口味，任您挑選
41,Mabana restaurant(入口在大仁五街),美式,4.8,16:00-02:00,0976-831-619,中北路180號2樓,"https://www.google.com/maps/place/Mabana+restaurant(%E5%85%A5%E5%8F%A3%E5%9C%A8%E5%A4%A7%E4%BB%81%E4%BA%94%E8%A1%97)/@24.9569474,121.239771,17z/data=!3m1!4b1!4m6!3m5!1s0x34682301c931c823:0x44d524ed0384c953!8m2!3d24.9569474!4d121.239771!16s%2Fg%2F11xzh5l16l?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享特約優惠～
|兩人同行贈可樂乙杯
| 四人同行打 9 折
| 六人同行贈炸物拼盤乙份
| 八人同行打 85 折
| 包場 3 小時原價 5000 打8折",咖哩、炸物、蛋包飯、古巴三明治、晚餐、宵夜,以高 CP 值的美式風味與舒適的沙發空間著稱，不僅提供招牌古巴三明治、紅酒燉肉及多樣炸物，近期更推出五百多元的「全品項吃到飽」方案，營業至凌晨兩點且環境寵物友善。
42,EMO勒戒所,餐酒館,5,21:00-04:00,0973-934-979,日新路94-1號屈臣氏後巷子內B1,"https://www.google.com/maps/place/EMO%E5%8B%92%E6%88%92%E6%89%80/@24.9551886,121.2400643,17z/data=!4m15!1m8!3m7!1s0x34682316e21fad5d:0x3f82e92d6cd351b5!2zRU1P5YuS5oiS5omA!8m2!3d24.9550557!4d121.2401834!10e9!16s%2Fg%2F11krkf7_7b!3m5!1s0x34682316e21fad5d:0x3f82e92d6cd351b5!8m2!3d24.9550557!4d121.2401834!16s%2Fg%2F11krkf7_7b?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享四人同行送一份炸物任選
（雞塊、雞球、薯條）",飲料、酒,是個很神秘的酒吧，酒類可以暢飲，也可以唱歌，氣氛佳。老板十分外向健談。
43,上癮食板屋,韓式,4.6,"11:00-14:00, 17:00-21:00",0958-840-012,實踐路225-20號柏德美食廣場1樓,https://www.google.com/maps?cid=10525831893662347764,凡出示學生證、教職員證即可享內用外帶主餐享9折優惠,鍋物、韓式拉麵、炸物、午餐、晚餐,平價鐵板簡餐與鍋物店，以特色麻奶湯頭、高品質平價鐵板燒及高 CP 值大份量。招牌包含濃郁「麻奶海鮮湯Q麵」與多種鐵板套餐，店內不僅有飲料喝到飽，還能看到老闆養的可愛陸龜。
44,AMICO餐酒館,餐酒館,4.8,18:00-02:00,03-466-8900,中北路111號2樓,"https://www.google.com/maps/place/AMICO%E9%A4%90%E9%85%92%E9%A4%A8/@24.9567557,121.2384677,17z/data=!3m1!5s0x3468223e35b44cd5:0x1f266d4606b619d3!4m15!1m8!3m7!1s0x3468223e362103c5:0xf4b95f2eb6b79850!2zQU1JQ0_ppJDphZLppKg!8m2!3d24.9567557!4d121.2384677!10e9!16s%2Fg%2F12hkbf1p7!3m5!1s0x3468223e362103c5:0xf4b95f2eb6b79850!8m2!3d24.9567557!4d121.2384677!16s%2Fg%2F12hkbf1p7?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",出示學生證及教職員證享平日全品項9折，價全品項95折,異國料理、炸物、烤肉、飲料、酒,以其獨特的「暢飲方案」與高品質「異國料理」聞名的二樓隱藏版餐酒館。這裡的氛圍介於時尚與溫馨之間，非常適合朋友聚會、情侶約會，甚至是獨自小酌。
45,KIND FOOD 健康廚房 桃園中原店,台式,4.5,"11:00-15:00, 17:00-20:00",03-466-3515,大仁五街41號,https://www.google.com/maps?cid=8539279255507811110,出示學生證及教職員證享有餐盒全品項95折,健康餐、盒飯、便當、午餐、晚餐,主打以舒肥低溫烹調手法處理主食，並選用原型食物搭配低負擔的橄欖油與粉紅岩鹽，是健身族與外食族追求營養均衡的熱門選擇。
46,玩逗樹咖啡-中原店,輕食,4.8,11:00-23:30,0965-443-992,新中北路526號,"https://www.google.com/maps/place/%E7%8E%A9%E9%80%97%E6%A8%B9%E5%92%96%E5%95%A1-%E4%B8%AD%E5%8E%9F%E5%BA%97/@24.9574561,121.2456508,17z/data=!4m15!1m8!3m7!1s0x3468239412694a23:0x7d4069d6a0312a85!2z546p6YCX5qi55ZKW5ZWhLeS4reWOn-W6lw!8m2!3d24.9570722!4d121.245429!10e5!16s%2Fg%2F11mwsh32gg!3m5!1s0x3468239412694a23:0x7d4069d6a0312a85!8m2!3d24.9570722!4d121.245429!16s%2Fg%2F11mwsh32gg?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",享九折優惠,咖哩、桌遊、輕食、午餐、晚餐,是一間結合桌遊、咖啡與酒吧的複合式景觀餐廳，平日不限時且提供插座，適合辦公讀書；週末則提供豐富桌遊與美味餐點，適合好友或家庭聚餐。
47,白毛炭烤,燒烤,4.8,18:30-03:30,0906-467-111,協同街54號,"https://www.google.com/maps/place/%E7%99%BD%E6%AF%9B%E7%82%AD%E7%83%A4+%E4%B8%AD%E5%8E%9F%E5%BA%97+%E6%99%9A%E9%A4%90%26%E5%AE%B5%E5%A4%9C+%7C%E5%8F%B0%E5%BC%8F%E7%82%AD%E7%83%A4%7C%E5%95%A4%E9%85%92/@24.9540899,121.2365119,17z/data=!3m1!4b1!4m6!3m5!1s0x346823b830abd24b:0x46a52d54cf60dd68!8m2!3d24.9540851!4d121.2390868!16s%2Fg%2F11xycqx27k?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享特約優惠~
｜全炭烤品項一律95折
｜消費滿300免費贈送紅茶一杯，其餘飲品需貼補5-10元差價
｜酒品內用外帶一律8折",烤物、晚餐、宵夜 、台式炭烤、啤酒,白毛阿伯碳烤是桃園內壢地區的老字號宵夜，創立於1978年，擁有超過45年歷史。以木炭碳烤與特製鹹甜醬汁聞名。招牌包括雞心、雞皮、豆干、甜不辣、蔥肉串等。
48,Cool Gi CEO厚切雞排-內壢店,炸物,4.7,15:00-23:00,0982-088-399,中華路一段608號,"https://www.google.com/maps/place/Cool+Gi+CEO%E5%8E%9A%E5%88%87%E9%9B%9E%E6%8E%92-%E5%85%A7%E5%A3%A2%E5%BA%97/@24.9697041,121.2483431,17z/data=!3m1!4b1!4m6!3m5!1s0x346823a9eb96aeb3:0x9c607b3c8dfb318!8m2!3d24.9696993!4d121.250918!16s%2Fg%2F11vcw68q4g?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享特約優惠~
｜單點厚切雞排第二片9折
｜消費滿299元贈送一份隨機小炸物(價值30元）",雞排、炸物、飲料、晚餐、宵夜,主打現點現炸、鮮嫩多汁的厚切雞排與香氣十足的蔥炒炸物，是當地人氣極高的點心首選。除了招牌雞軟骨大方加入大量新鮮蔥花外，店內也提供黑糖珍珠鮮奶等飲品搭配成超值套餐。
49,大觀x小弄,甜品,4.6,12:00-18:00,0912-814-203,環中東路708巷136號,"https://www.google.com/maps/place/%E5%A4%A7%E8%A7%80x%E5%B0%8F%E5%BC%84/@24.9550218,121.2413965,17z/data=!3m1!4b1!4m6!3m5!1s0x34682214f45c1af1:0x75f729d4d9672e9e!8m2!3d24.955017!4d121.2439714!16s%2Fg%2F11clsdwvxx?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享特約優惠~
|飲料折20元",茶、甜點、咖啡、飲料、下午茶,「大觀x小弄」是藏身桃園中壢「大觀園」廢墟巷弄內的超人氣老宅甜點店，由青年改建 40 年代舊宿舍而成，主打限量手作千層與生乳酪蛋糕，以極致隱密的「迷路」特色與溫馨氛圍著稱，是中原商圈極具指標性的隱藏版午茶去處。
50,鼎鍋物,火鍋,4.9,11:30-22:00,0900-037-438,中山東路一段336號2F,"https://www.google.com/maps/place/%E9%BC%8E%E9%8D%8B%E7%89%A9+%E4%B8%AD%E5%A3%A2%E4%B8%AD%E5%8E%9F%E5%BA%97/@24.9546968,121.2335532,17z/data=!4m15!1m8!3m7!1s0x346823f7f4de5e61:0xb808ae1490e9cba2!2z6byO6Y2L54mpIOS4reWjouS4reWOn-W6lw!8m2!3d24.954692!4d121.2361281!10e1!16s%2Fg%2F11mknzn4zp!3m5!1s0x346823f7f4de5e61:0xb808ae1490e9cba2!8m2!3d24.954692!4d121.2361281!16s%2Fg%2F11mknzn4zp?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","凡出示學生證、教職員證即可享特約優惠～
​
|每一鍋物折價20元
|贈送一份梅花豬肉片捲
（一張學生證折抵一份餐點）",火鍋、午餐、晚餐,主打平價精緻、具備自助吧吃到飽的個人小火鍋店。該店鄰近中原商圈，主打現點現切的優質肉品、特色湯底（如牛奶鍋、剝皮辣椒），提供白飯、飲品、冰沙、點心等免費吃到飽的歡樂自助吧。
51,餵 湯泡飯（中原店）,日式,4.7,11:30-22:30,0989-240-658,實踐路125號,"https://www.google.com/maps/place/%E9%A4%B5+%E6%B9%AF%E6%B3%A1%E9%A3%AF%EF%BC%88%E4%B8%AD%E5%8E%9F%E5%BA%97%EF%BC%89/@24.9558002,121.2376771,17z/data=!3m1!4b1!4m6!3m5!1s0x346823b33cfe4f05:0x782cdb925ff83b44!8m2!3d24.9557954!4d121.240252!16s%2Fg%2F11khjhq4f0?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",全面95折（限現金支付）,湯泡飯、麵、鍋燒意麵、午餐、晚餐,以主打特色湯頭與「湯泡飯」為核心的文青風餐廳，高品質的湯底與高 CP 值，受大學生與家庭客喜愛，店家最引以為傲的是其用心熬煮的三款特色湯頭，顧客可以根據喜好自由搭配主食（白飯、烏龍麵、雞絲麵、粿仔條等）
52,就那個布朗尼,甜品,4.8,12:00-21:00,0902-020-260,大仁三街21號,"https://www.google.com/maps/place/%E5%B0%B1%E9%82%A3%E5%80%8B%E5%B8%83%E6%9C%97%E5%B0%BCthe+one+brownies/@24.9554836,121.2392754,17z/data=!3m1!4b1!4m6!3m5!1s0x346823386af787a3:0x3f6a57172820d88c!8m2!3d24.9554788!4d121.2418503!16s%2Fg%2F11yjvtnqsc?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D",凡消費滿100元得以雙倍集點,布朗尼、蛋糕、甜點,是一間位於桃園中原商圈的知名手工甜點工作室（地址：中壢區大仁三街21號），以單獨包裝、口味豐富的精緻布朗尼著名。主打口感濕潤、不甜膩，提供各式手作布朗尼與乳酪蛋糕，適合下午茶與送禮。
53,海底撈火鍋 桃園統領店,火鍋,4.6,11:00-04:00,03-332-1608,桃園區中正路61號夜間入口在中華路側全家便利商店右邊小路進來8樓,"https://www.google.com/maps/place/%E6%B5%B7%E5%BA%95%E6%92%88%E7%81%AB%E9%8D%8B+%E6%A1%83%E5%9C%92%E7%B5%B1%E9%A0%98%E5%BA%97/@24.9911801,121.3097692,17z/data=!3m2!4b1!5s0x34681efcc221bda1:0xd5f8fd2d3c61b2e8!4m6!3m5!1s0x34681f5af74ef0ef:0x9e90abcc2fe089db!8m2!3d24.9911753!4d121.3123441!16s%2Fg%2F11fb1fxqnd?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","｜平日(即非假日)(星期六及星期日)，結帳享全店88折優惠價；假日結帳享全店菜品95折優惠價(以上均不含鍋底/酒水/醬料等)。
｜憑中原大學學生證，且學生證需為本人持有並由本人到場方可使用，不得借用或轉界他人使用證件。
｜不定期推出獨家限定款商品組合優惠價/優惠券等，所有優惠不得同時使用。",火鍋、午餐、晚餐、宵夜,以「極致桌邊服務」與特色川味火鍋聞名，特色包括免費美甲、按摩椅、兒童遊戲區、川劇變臉表演、撈麵秀，且不限用餐時間。餐點採單點制（含半份選項），必點包括番茄鍋、撈派滑牛肉、招牌蝦滑，營業至凌晨，是知名的宵夜好去處。
54,元氣十盅/台G店創始店,中式,4.4,11:00-23:00,03-283-0676,力行北街27號,"https://www.google.com/maps/place/%E5%85%83%E6%B0%A3%E5%8D%81%E7%9B%85%2F%E5%8F%B0G%E5%BA%97%E5%89%B5%E5%A7%8B%E5%BA%97/@24.9538423,121.2374651,17z/data=!3m1!4b1!4m6!3m5!1s0x3468223fe5e5037b:0xfb03a2479d74d6b!8m2!3d24.9538375!4d121.24004!16s%2Fg%2F11g_lg96z?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","｜凡點一份套餐招待
(麥香系列飲品/小菜-豆干/小菜-豆包/小菜-毛豆/小菜-雞胗/炸物-搖搖雞球原味/炸物-搖搖雞球辣味)
擇一
｜真空包裝系列料理優惠3包500元",飯、麵、雞湯、湯、午餐，晚餐,將新鮮的食材製作成美味湯品供客人品嚐，食材，品質衛生，老闆娘都親力親為，嚴格把關！把她最愛的美味雞湯與客人分享幸福的味道！
55,這是你的Chill box 餐酒館,餐酒館,4.8,17:00-01:00,0917-695-882,大仁五街2號,"https://www.google.com/maps/place/%E9%80%99%E6%98%AF%E4%BD%A0%E7%9A%84Chill+box+%E9%A4%90%E9%85%92%E9%A4%A8/@24.9561432,121.2383992,17z/data=!3m1!4b1!4m6!3m5!1s0x3468237550a35f79:0x173812a70e4417ac!8m2!3d24.9561384!4d121.2409741!16s%2Fg%2F11q536bynj?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","｜調酒暢飲 799 /人
｜啤酒暢飲 599 /人
｜暢飲不限時，把調酒師喝倒，下次來再送一盤!",義大利麵、牛排、酒、西餐、晚餐、宵夜,一間從下午就開店，一路營業至凌晨3點的餐酒館，主打午後餐酒館的風格，提供吧台座位，不論是白天臨時起意想找人微醺一下，還是深夜一個人突然想吃個排餐，到這都能滿足你的需求。
56,冒大仙冒菜麻辣燙 中壢中原店,中式,4.5,16:00-23:30,03-465-0600,弘揚路80號,"https://www.google.com/maps/place/%E5%86%92%E5%A4%A7%E4%BB%99%E5%86%92%E8%8F%9C%E9%BA%BB%E8%BE%A3%E7%87%99+%E4%B8%AD%E5%A3%A2%E4%B8%AD%E5%8E%9F%E5%BA%97/@24.9536746,121.2388321,17z/data=!3m1!4b1!4m6!3m5!1s0x3468233f2e6b45bb:0xdb65f214b71c5ade!8m2!3d24.9536698!4d121.241407!16s%2Fg%2F11y0p4vr5q?authuser=0&entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw%3D%3D","｜免費贈（二選一）15元飲料、王子麵
｜消費滿200元贈牛肉片/豬肉片30g",冒菜、麻辣燙、晚餐,新中式特色餐飲，也是火鍋型態的新式冒菜，鮮材與好料、勁爆的味道、良好的口碑、周到的服務就是冒大仙不斷攀升的力量之源。
